model,prune_ratio,quantized,c4,time1,ptb,time2,wikitext2,time3,Computational Complexity (GMac),Number of Parameters (M),GPU Memory Requirements (MiB)
Llama-13B,0,0,6.80 ,145.57 ,28.10 ,66.98 ,5.09 ,123.11 ,0.00 ,0.00 ,0.00 
sparsegpt,0.1,0,6.80 ,143.92 ,28.10 ,63.61 ,5.10 ,111.56 ,0.00 ,0.00 ,0.00 
sparsegpt,0.2,0,6.85 ,142.55 ,28.43 ,63.39 ,5.14 ,107.96 ,0.00 ,0.00 ,0.00 
sparsegpt,0.3,0,6.99 ,143.07 ,29.39 ,66.07 ,5.26 ,109.60 ,0.00 ,0.00 ,0.00 
sparsegpt,0.4,0,7.31 ,143.93 ,31.66 ,64.75 ,5.56 ,108.93 ,0.00 ,0.00 ,0.00 
sparsegpt,0.5,0,8.12 ,142.51 ,37.24 ,62.30 ,6.21 ,107.57 ,0.00 ,0.00 ,0.00 
sparsegpt,0.6,0,10.74 ,141.59 ,59.31 ,63.56 ,8.43 ,109.00 ,0.00 ,0.00 ,0.00 
sparsegpt,0.7,0,22.54 ,142.56 ,155.26 ,64.24 ,19.03 ,110.69 ,0.00 ,0.00 ,0.00 
sparsegpt,0.8,0,72.22 ,140.00 ,450.97 ,64.64 ,96.36 ,108.93 ,0.00 ,0.00 ,0.00 
sparsegpt,0.9,0,943.30 ,140.68 ,3264.86 ,62.29 ,2400.34 ,106.60 ,0.00 ,0.00 ,0.00 
Llama-7B,0,0,10.25 ,98.25 ,31.76 ,43.26 ,5.97 ,82.35 ,425.12 ,6738.42 ,12924.65 
LLMpruner_block,0.25,0,22.83 ,75.19 ,72.61 ,34.85 ,19.24 ,63.34 ,340.48 ,5422.98 ,10415.65 
LLMpruner_block,0.4,0,35.93 ,61.58 ,118.33 ,27.48 ,31.23 ,52.40 ,292.51 ,4677.08 ,9024.65 
LLMpruner_block,0.5,0,72.13 ,50.55 ,211.76 ,23.75 ,65.10 ,43.86 ,255.84 ,4107.54 ,7984.65 
LLMpruner_block,0.6,0,180.21 ,41.34 ,347.78 ,19.14 ,166.87 ,34.50 ,222.69 ,3592.20 ,7027.73 
LLMpruner_channel,0.2,0,176.11 ,80.82 ,542.87 ,36.33 ,144.40 ,67.45 ,340.46 ,5389.42 ,10403.74 
LLMpruner_channel,0.3,0,3523.53 ,71.27 ,4653.21 ,31.31 ,3124.02 ,58.91 ,298.23 ,4716.56 ,9068.29 
LLMpruner_channel,0.4,0,8038.63 ,59.99 ,9774.18 ,28.71 ,8830.24 ,50.66 ,255.90 ,4042.06 ,7924.46 
LLMpruner_channel,0.5,0,11732.37 ,50.89 ,24381.08 ,24.31 ,14558.60 ,42.68 ,213.68 ,3369.21 ,6596.39 
Llama-13B,0,1,7.15 ,26.86 ,31.26 ,13.12 ,5.32 ,25.97 ,0.00 ,0.00 ,0.00 
Llama-7B,0,1,12.84 ,18.36 ,33.48 ,8.09 ,7.08 ,15.39 ,0.00 ,0.00 ,0.00 
sparsegpt,0.1,1,9.52 ,29.22 ,38.98 ,12.28 ,6.90 ,24.43 ,0.00 ,0.00 ,0.00 
sparsegpt,0.2,1,9.58 ,28.94 ,39.43 ,12.23 ,6.95 ,23.64 ,0.00 ,0.00 ,0.00 
sparsegpt,0.3,1,9.78 ,29.04 ,40.76 ,12.75 ,7.12 ,24.00 ,0.00 ,0.00 ,0.00 
sparsegpt,0.4,1,10.23 ,29.22 ,43.91 ,12.50 ,7.52 ,23.86 ,0.00 ,0.00 ,0.00 
sparsegpt,0.5,1,11.36 ,28.93 ,51.65 ,12.02 ,8.40 ,23.56 ,0.00 ,0.00 ,0.00 
sparsegpt,0.6,1,15.02 ,28.74 ,82.27 ,12.27 ,11.40 ,23.87 ,0.00 ,0.00 ,0.00 
sparsegpt,0.7,1,31.53 ,28.94 ,215.34 ,12.40 ,25.74 ,24.24 ,0.00 ,0.00 ,0.00 
sparsegpt,0.8,1,101.04 ,28.42 ,625.50 ,12.47 ,130.37 ,23.85 ,0.00 ,0.00 ,0.00 
sparsegpt,0.9,1,1119.67 ,28.56 ,4228.36 ,12.02 ,2947.67 ,23.35 ,0.00 ,0.00 ,0.00 
LLMpruner_block,0.25,1,32.78 ,17.37 ,108.05 ,7.88 ,24.80 ,11.40 ,0.00 ,0.00 ,0.00 
LLMpruner_block,0.4,1,51.60 ,14.22 ,176.07 ,6.21 ,40.26 ,9.43 ,0.00 ,0.00 ,0.00 
LLMpruner_block,0.5,1,103.58 ,11.68 ,315.10 ,5.37 ,83.91 ,7.89 ,0.00 ,0.00 ,0.00 
LLMpruner_block,0.6,1,258.78 ,9.55 ,517.49 ,4.32 ,215.09 ,6.21 ,0.00 ,0.00 ,0.00 
LLMpruner_channel,0.2,1,252.89 ,18.67 ,807.79 ,8.21 ,186.13 ,12.14 ,0.00 ,0.00 ,0.00 
LLMpruner_channel,0.3,1,5059.79 ,16.46 ,6923.98 ,7.07 ,4026.86 ,10.60 ,0.00 ,0.00 ,0.00 
LLMpruner_channel,0.4,1,11543.47 ,13.86 ,14543.99 ,6.49 ,11382.18 ,9.12 ,0.00 ,0.00 ,0.00 
LLMpruner_channel,0.5,1,16847.68 ,11.76 ,36279.04 ,5.49 ,18766.04 ,7.68 ,0.00 ,0.00 ,0.00 